,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
13,1987,12,24,4,1733.0,1700,1951.0,1900,DL,766,,138.0,120.0,,51.0,33.0,ATL,BDL,859.0,,,0,,0,,,,,
14,1987,12,28,1,1545.0,1446,1709.0,1610,EA,1691,,84.0,84.0,,59.0,59.0,ATL,SRQ,445.0,,,0,,0,,,,,
15,1987,12,7,1,2014.0,2000,2245.0,2245,WN,738,,91.0,105.0,,0.0,14.0,LAX,ELP,714.0,,,0,,0,,,,,
16,1987,10,2,5,1243.0,1230,1610.0,1556,NW,632,,147.0,146.0,,14.0,13.0,MEM,LGA,963.0,,,0,,0,,,,,
17,1987,10,23,5,1833.0,1825,2034.0,2025,NW,37,,181.0,180.0,,9.0,8.0,JFK,MSP,1028.0,,,0,,0,,,,,
18,1987,11,25,3,2004.0,1950,2058.0,2040,HP,1070,,54.0,50.0,,18.0,14.0,PHX,YUM,160.0,,,0,,0,,,,,
19,1987,10,20,2,1506.0,1505,1615.0,1612,PS,1761,,69.0,67.0,,3.0,1.0,PHX,LAX,370.0,,,0,,0,,,,,
20,1987,10,12,1,1000.0,948,1252.0,1244,AA,174,,112.0,116.0,,8.0,12.0,ORD,EWR,719.0,,,0,,0,,,,,
21,1987,11,16,1,1615.0,1602,1701.0,1645,DL,1517,,106.0,103.0,,16.0,13.0,SLC,SJC,585.0,,,0,,0,,,,,
22,1987,10,5,1,1212.0,1205,1545.0,1538,US,98,,153.0,153.0,,7.0,7.0,IAH,PIT,1117.0,,,0,,0,,,,,
23,1987,11,9,1,1203.0,1201,1305.0,1257,PS,1841,,62.0,56.0,,8.0,2.0,LAX,MRY,267.0,,,0,,0,,,,,
24,1987,10,23,5,1642.0,1640,1811.0,1801,AA,497,,149.0,141.0,,10.0,2.0,EWR,ORD,719.0,,,0,,0,,,,,
25,1987,11,15,7,1147.0,1135,1330.0,1303,PI,402,,103.0,88.0,,27.0,12.0,MCO,RDU,534.0,,,0,,0,,,,,
26,1987,12,19,6,1405.0,1300,1502.0,1345,WN,654,,117.0,105.0,,77.0,65.0,ELP,SAN,636.0,,,0,,0,,,,,
27,1987,12,11,5,954.0,930,1017.0,940,WN,921,,83.0,70.0,,37.0,24.0,PHX,LAX,370.0,,,0,,0,,,,,
28,1987,11,26,4,858.0,850,1007.0,1005,PI,435,,69.0,75.0,,2.0,8.0,LGA,ORF,296.0,,,0,,0,,,,,
29,1987,10,15,4,1604.0,1520,1713.0,1630,AS,751,,69.0,70.0,,43.0,44.0,BUR,SFO,326.0,,,0,,0,,,,,
30,1987,12,10,4,1601.0,1600,1649.0,1650,HP,629,,48.0,50.0,,-1.0,1.0,LAS,ONT,197.0,,,0,,0,,,,,
31,1987,12,19,6,947.0,929,1104.0,1045,UA,974,,77.0,76.0,,19.0,18.0,MCI,ORD,403.0,,,0,,0,,,,,
32,1987,10,10,6,1919.0,1910,2218.0,2235,CO,574,,119.0,145.0,,-17.0,9.0,DEN,MKE,895.0,,,0,,0,,,,,
33,1987,10,13,2,847.0,835,1039.0,1031,UA,480,,112.0,116.0,,8.0,12.0,OKC,ORD,693.0,,,0,,0,,,,,
34,1987,10,15,4,1334.0,1330,1444.0,1441,PS,1673,,70.0,71.0,,3.0,4.0,SAN,SJC,417.0,,,0,,0,,,,,
35,1987,12,8,2,1122.0,1055,1208.0,1141,UA,1091,,46.0,46.0,,27.0,27.0,FAT,SFO,158.0,,,0,,0,,,,,
36,1987,10,26,1,903.0,720,948.0,800,AS,178,,45.0,40.0,,108.0,103.0,SEA,PDX,129.0,,,0,,0,,,,,
37,1987,12,1,2,1303.0,1300,2051.0,2020,NW,342,,288.0,260.0,,31.0,3.0,SFO,DTW,2079.0,,,0,,0,,,,,
38,1987,10,4,7,1731.0,1729,2035.0,2023,AA,952,,124.0,114.0,,12.0,2.0,ORD,EWR,719.0,,,0,,0,,,,,
39,1987,10,1,4,1904.0,1830,1958.0,1925,WN,49,,54.0,55.0,,33.0,34.0,DAL,HOU,239.0,,,0,,0,,,,,
40,1987,10,3,6,618.0,615,709.0,710,HP,12,,51.0,55.0,,-1.0,3.0,LAS,LAX,236.0,,,0,,0,,,,,
41,1987,11,12,4,1638.0,1634,1920.0,1908,PI,464,,162.0,154.0,,12.0,4.0,DAY,MIA,999.0,,,0,,0,,,,,
42,1987,10,20,2,1158.0,1155,1256.0,1259,PI,703,,58.0,64.0,,-3.0,3.0,ROC,BWI,277.0,,,0,,0,,,,,
43,1987,12,30,3,1000.0,900,1359.0,1223,AA,11,,419.0,383.0,,96.0,60.0,BOS,LAX,2611.0,,,0,,0,,,,,
44,1987,12,26,6,1053.0,1039,1304.0,1245,DL,1616,,71.0,66.0,,19.0,14.0,JAN,ATL,341.0,,,0,,0,,,,,
45,1987,11,19,4,1518.0,1515,1613.0,1610,HP,36,,55.0,55.0,,3.0,3.0,LAS,LAX,236.0,,,0,,0,,,,,
46,1987,12,29,2,1742.0,1315,2302.0,1854,CO,1740,,200.0,219.0,,248.0,267.0,DEN,MCO,1545.0,,,0,,0,,,,,
47,1987,11,12,4,940.0,939,1013.0,1023,AA,621,,153.0,164.0,,-10.0,1.0,DFW,LAS,1055.0,,,0,,0,,,,,
48,1987,12,23,3,1211.0,1200,1322.0,1310,PI,810,,71.0,70.0,,12.0,11.0,ROA,EWR,389.0,,,0,,0,,,,,
49,1987,12,15,2,1601.0,1520,1740.0,1710,PI,125,,99.0,110.0,,30.0,41.0,CLT,FLL,631.0,,,0,,0,,,,,
50,1987,12,8,2,1302.0,1300,1303.0,1300,WN,613,,61.0,60.0,,3.0,2.0,PHX,SAN,304.0,,,0,,0,,,,,
51,1987,12,24,4,2015.0,1958,2129.0,2115,EA,1637,,74.0,77.0,,14.0,17.0,BOS,PHL,280.0,,,0,,0,,,,,
52,1987,12,3,4,842.0,840,948.0,952,PI,711,,66.0,72.0,,-4.0,2.0,TLH,MIA,403.0,,,0,,0,,,,,
53,1987,10,20,2,950.0,945,1102.0,1048,US,65,,132.0,123.0,,14.0,5.0,PIT,MCI,773.0,,,0,,0,,,,,
54,1987,12,4,5,2053.0,1940,2157.0,2057,US,625,,64.0,77.0,,60.0,73.0,BOS,BWI,370.0,,,0,,0,,,,,
55,1987,11,8,7,1105.0,1059,1205.0,1157,AA,421,,60.0,58.0,,8.0,6.0,DFW,IAH,224.0,,,0,,0,,,,,
56,1987,10,31,6,2255.0,2233,707.0,634,EA,56,,312.0,301.0,,33.0,22.0,LAX,BOS,2611.0,,,0,,0,,,,,
57,1987,12,16,3,701.0,700,819.0,803,US,229,,78.0,63.0,,16.0,1.0,RDU,PIT,328.0,,,0,,0,,,,,
58,1987,12,17,4,1356.0,1355,1357.0,1403,AA,275,,61.0,68.0,,-6.0,1.0,DTW,ORD,235.0,,,0,,0,,,,,
59,1987,11,29,7,1740.0,1720,1937.0,1845,PI,426,,117.0,85.0,,52.0,20.0,RDU,EWR,416.0,,,0,,0,,,,,
60,1987,11,11,3,833.0,817,1021.0,1017,AA,199,,168.0,180.0,,4.0,16.0,RDU,DFW,1062.0,,,0,,0,,,,,
61,1987,10,16,5,1755.0,1750,1904.0,1905,US,343,,69.0,75.0,,-1.0,5.0,BOS,PHL,280.0,,,0,,0,,,,,
62,1987,10,10,6,1248.0,1242,1345.0,1342,UA,1571,,57.0,60.0,,3.0,6.0,CLE,IAD,288.0,,,0,,0,,,,,
63,1987,10,16,5,1531.0,1430,1940.0,1845,WN,960,,129.0,135.0,,55.0,61.0,PHX,TUL,935.0,,,0,,0,,,,,
64,1987,12,19,6,1823.0,1820,1851.0,1851,UA,1222,,28.0,31.0,,0.0,3.0,ACV,RDD,101.0,,,0,,0,,,,,
65,1987,11,24,2,1546.0,1540,1640.0,1635,WN,705,,54.0,55.0,,5.0,6.0,HOU,HRL,276.0,,,0,,0,,,,,
66,1987,12,22,2,1320.0,1314,1504.0,1450,DL,786,,104.0,96.0,,14.0,6.0,DFW,BNA,631.0,,,0,,0,,,,,
67,1987,11,25,3,1739.0,1710,1919.0,1835,CO,763,,100.0,85.0,,44.0,29.0,EWR,PIT,319.0,,,0,,0,,,,,
68,1987,11,29,7,1230.0,1200,1343.0,1253,US,617,,73.0,53.0,,50.0,30.0,PIT,PHL,267.0,,,0,,0,,,,,
69,1987,10,25,7,2005.0,2000,2147.0,2104,EA,1130,,102.0,64.0,,43.0,5.0,LGA,BOS,185.0,,,0,,0,,,,,
70,1987,11,14,6,932.0,930,1030.0,1045,AA,409,,118.0,135.0,,-15.0,2.0,PHL,ORD,678.0,,,0,,0,,,,,
71,1987,12,17,4,900.0,850,1113.0,1057,AA,2759,,133.0,127.0,,16.0,10.0,SFO,SEA,679.0,,,0,,0,,,,,
72,1987,10,21,3,1810.0,1805,1928.0,1915,DL,1947,,78.0,70.0,,13.0,5.0,LAX,SMF,373.0,,,0,,0,,,,,
73,1987,10,23,5,1219.0,1210,1350.0,1340,NW,372,,91.0,90.0,,10.0,9.0,DTW,EWR,487.0,,,0,,0,,,,,
74,1987,12,29,2,1441.0,1440,1546.0,1540,PI,268,,65.0,60.0,,6.0,1.0,ATL,CLT,227.0,,,0,,0,,,,,
75,1987,11,23,1,802.0,800,949.0,930,PI,15,,167.0,150.0,,19.0,2.0,CLT,DFW,936.0,,,0,,0,,,,,
76,1987,11,14,6,830.0,820,947.0,947,PS,1947,,77.0,87.0,,0.0,10.0,SFO,RDM,462.0,,,0,,0,,,,,
77,1987,12,16,3,1121.0,1036,1641.0,1621,UA,352,,200.0,225.0,,20.0,45.0,DEN,BOS,1754.0,,,0,,0,,,,,
78,1987,10,1,4,1935.0,1925,2110.0,2106,DL,72,,95.0,101.0,,4.0,10.0,FLL,ATL,581.0,,,0,,0,,,,,
79,1987,10,9,5,2015.0,2000,2125.0,2110,EA,914,,70.0,70.0,,15.0,15.0,DCA,PVD,357.0,,,0,,0,,,,,
80,1987,12,29,2,1645.0,1615,1838.0,1834,EA,115,,113.0,139.0,,4.0,30.0,EWR,ATL,745.0,,,0,,0,,,,,
81,1987,10,30,5,1848.0,1834,2048.0,2031,AA,497,,120.0,117.0,,17.0,14.0,ORD,TUL,585.0,,,0,,0,,,,,
82,1987,10,19,1,2002.0,1955,2138.0,2141,AA,535,,96.0,106.0,,-3.0,7.0,DFW,BNA,631.0,,,0,,0,,,,,
83,1987,11,20,5,1947.0,1945,2145.0,2135,PI,567,,118.0,110.0,,10.0,2.0,LGA,DAY,549.0,,,0,,0,,,,,
84,1987,11,12,4,1227.0,1219,1401.0,1358,PI,40,,94.0,99.0,,3.0,8.0,CLT,EWR,529.0,,,0,,0,,,,,
85,1987,12,23,3,2205.0,2155,2335.0,2302,PS,1881,,90.0,67.0,,33.0,10.0,SFO,MFR,329.0,,,0,,0,,,,,
86,1987,10,7,3,1730.0,1640,2007.0,1904,TW,220,,97.0,84.0,,63.0,50.0,STL,DTW,440.0,,,0,,0,,,,,
87,1987,11,5,4,1213.0,1205,1541.0,1522,NW,774,,148.0,137.0,,19.0,8.0,MSP,EWR,1008.0,,,0,,0,,,,,
88,1987,10,23,5,1802.0,1745,1748.0,1743,UA,551,,46.0,58.0,,5.0,17.0,MBS,ORD,222.0,,,0,,0,,,,,
89,1987,12,26,6,1127.0,1100,1927.0,1915,CO,60,,300.0,315.0,,12.0,27.0,LAX,EWR,2454.0,,,0,,0,,,,,
90,1987,11,28,6,1520.0,1505,1656.0,1643,EA,605,,156.0,158.0,,13.0,15.0,MCI,PHX,1044.0,,,0,,0,,,,,
91,1987,12,19,6,710.0,707,822.0,805,AA,985,,132.0,118.0,,17.0,3.0,IAD,ORD,589.0,,,0,,0,,,,,
92,1987,12,18,5,1516.0,1500,1827.0,1817,UA,234,,131.0,137.0,,10.0,16.0,DEN,ORD,888.0,,,0,,0,,,,,
93,1987,12,11,5,1217.0,1205,1906.0,1915,DL,116,,229.0,250.0,,-9.0,12.0,SFO,ATL,2139.0,,,0,,0,,,,,
94,1987,10,31,6,1308.0,1259,1414.0,1402,DL,915,,126.0,123.0,,12.0,9.0,CVG,DFW,812.0,,,0,,0,,,,,
95,1987,12,10,4,839.0,825,1644.0,1635,TW,840,,305.0,310.0,,9.0,14.0,LAX,JFK,2475.0,,,0,,0,,,,,
96,1987,12,18,5,1706.0,1655,1738.0,1730,DL,265,,32.0,35.0,,8.0,11.0,ONT,SAN,94.0,,,0,,0,,,,,
97,1987,11,20,5,1057.0,1056,1136.0,1136,PI,378,,39.0,40.0,,0.0,1.0,CLT,MYR,156.0,,,0,,0,,,,,
98,1987,11,14,6,922.0,918,1048.0,1045,DL,689,,206.0,207.0,,3.0,4.0,CVG,SLC,1449.0,,,0,,0,,,,,
99,1987,10,1,4,804.0,800,930.0,930,PI,15,,146.0,150.0,,0.0,4.0,CLT,DFW,936.0,,,0,,0,,,,,
100,1987,12,9,3,1606.0,1600,1718.0,1704,CO,318,,72.0,64.0,,14.0,6.0,DCA,EWR,199.0,,,0,,0,,,,,
101,1987,12,11,5,2015.0,2000,2155.0,2130,NW,957,,100.0,90.0,,25.0,15.0,MEM,IAH,469.0,,,0,,0,,,,,
102,1987,12,21,1,1605.0,1600,1808.0,1751,DL,511,,63.0,51.0,,17.0,5.0,BNA,ATL,214.0,,,0,,0,,,,,
103,1987,10,29,4,1304.0,1300,1431.0,1411,AA,2739,,87.0,71.0,,20.0,4.0,LAX,SFO,337.0,,,0,,0,,,,,
104,1987,12,24,4,1315.0,1209,1539.0,1434,EA,848,,144.0,145.0,,65.0,66.0,TPA,LGA,1011.0,,,0,,0,,,,,
105,1987,12,1,2,1327.0,1325,2113.0,2115,AA,36,,286.0,290.0,,-2.0,2.0,LAX,IAD,2288.0,,,0,,0,,,,,
106,1987,12,29,2,1339.0,1314,1435.0,1415,DL,1040,,56.0,61.0,,20.0,25.0,DFW,LIT,304.0,,,0,,0,,,,,
107,1987,11,30,1,2352.0,2330,26.0,2355,HP,508,,34.0,25.0,,31.0,22.0,LNK,SUX,109.0,,,0,,0,,,,,
108,1987,10,7,3,1920.0,1842,2122.0,2100,EA,726,,122.0,138.0,,22.0,38.0,MCO,ISP,972.0,,,0,,0,,,,,
109,1987,11,5,4,1145.0,1140,1453.0,1446,CO,1736,,128.0,126.0,,7.0,5.0,BUR,DEN,850.0,,,0,,0,,,,,
110,1987,11,23,1,2232.0,2120,1.0,2302,NW,580,,89.0,102.0,,59.0,72.0,DTW,BOS,632.0,,,0,,0,,,,,
111,1987,11,25,3,1326.0,1324,1534.0,1533,TW,494,,68.0,69.0,,1.0,2.0,STL,SDF,254.0,,,0,,0,,,,,
112,1987,12,24,4,1002.0,954,1339.0,1330,DL,356,,157.0,156.0,,9.0,8.0,DFW,DCA,1192.0,,,0,,0,,,,,
113,1987,12,2,3,2055.0,2030,2313.0,2256,DL,1445,,198.0,206.0,,17.0,25.0,PDX,ANC,1542.0,,,0,,0,,,,,
114,1987,12,30,3,1321.0,1310,1418.0,1415,PI,862,,57.0,65.0,,3.0,11.0,BUF,JFK,301.0,,,0,,0,,,,,
115,1987,10,9,5,1557.0,1551,1717.0,1710,DL,701,,80.0,79.0,,7.0,6.0,BOS,DCA,399.0,,,0,,0,,,,,
116,1987,12,4,5,1308.0,1255,1801.0,1756,UA,9,,533.0,541.0,,5.0,13.0,ORD,OGG,4184.0,,,0,,0,,,,,
117,1987,11,8,7,1921.0,1846,2007.0,1934,DL,124,,106.0,108.0,,33.0,35.0,ATL,ORD,606.0,,,0,,0,,,,,
118,1987,11,8,7,1610.0,1555,1830.0,1810,NW,363,,200.0,195.0,,20.0,15.0,TPA,MSP,1307.0,,,0,,0,,,,,
119,1987,12,19,6,1228.0,1213,1338.0,1320,DL,1071,,130.0,127.0,,18.0,15.0,ATL,OKC,761.0,,,0,,0,,,,,
120,1987,12,4,5,1906.0,1900,2013.0,1955,HP,495,,67.0,55.0,,18.0,6.0,SAN,LAS,258.0,,,0,,0,,,,,
121,1987,10,13,2,1001.0,955,1121.0,1105,DL,495,,80.0,70.0,,16.0,6.0,RDU,ATL,356.0,,,0,,0,,,,,
122,1987,12,17,4,636.0,635,737.0,757,UA,715,,121.0,142.0,,-20.0,1.0,IAH,DEN,861.0,,,0,,0,,,,,
123,1987,12,2,3,1558.0,1536,1701.0,1635,UA,305,,183.0,179.0,,26.0,22.0,CLE,DEN,1201.0,,,0,,0,,,,,
124,1987,12,10,4,647.0,635,808.0,800,UA,1241,,81.0,85.0,,8.0,12.0,LAS,SFO,414.0,,,0,,0,,,,,
125,1987,10,8,4,2112.0,1905,2248.0,2039,NW,117,,216.0,214.0,,129.0,127.0,MSP,SNA,1522.0,,,0,,0,,,,,
126,1987,12,1,2,1936.0,1935,2105.0,2059,US,585,,89.0,84.0,,6.0,1.0,BOS,BUF,396.0,,,0,,0,,,,,
127,1987,11,11,3,926.0,910,1019.0,955,PI,507,,53.0,45.0,,24.0,16.0,DAY,GRR,217.0,,,0,,0,,,,,
128,1987,10,27,2,1555.0,1549,1716.0,1654,EA,209,,81.0,65.0,,22.0,6.0,CLT,ATL,227.0,,,0,,0,,,,,
129,1987,12,16,3,2004.0,2000,2114.0,2118,AA,2055,,70.0,78.0,,-4.0,4.0,SAN,SJC,417.0,,,0,,0,,,,,
130,1987,12,13,7,841.0,840,949.0,950,PI,79,,68.0,70.0,,-1.0,1.0,EWR,ORF,284.0,,,0,,0,,,,,
131,1987,11,20,5,1556.0,1550,1631.0,1629,UA,517,,95.0,99.0,,2.0,6.0,DSM,DEN,589.0,,,0,,0,,,,,
132,1987,11,1,7,2158.0,2155,2240.0,2239,PI,100,,42.0,44.0,,1.0,3.0,CLT,FAY,118.0,,,0,,0,,,,,
133,1987,12,11,5,2008.0,1710,2119.0,1748,PS,1860,,71.0,38.0,,211.0,178.0,LAX,SAN,109.0,,,0,,0,,,,,
134,1987,10,29,4,2107.0,2030,2238.0,2147,CO,101,,211.0,197.0,,51.0,37.0,IAH,LAX,1379.0,,,0,,0,,,,,
135,1987,11,20,5,1302.0,1300,1350.0,1340,DL,348,,48.0,40.0,,10.0,2.0,SHV,JAN,220.0,,,0,,0,,,,,
136,1987,11,14,6,832.0,830,1103.0,1106,UA,604,,91.0,96.0,,-3.0,2.0,ORD,DCA,612.0,,,0,,0,,,,,
137,1987,12,16,3,1453.0,1450,1615.0,1616,AA,469,,82.0,86.0,,-1.0,3.0,ORD,MSP,334.0,,,0,,0,,,,,
138,1987,12,16,3,2052.0,2049,2222.0,2154,PI,380,,90.0,65.0,,28.0,3.0,BWI,BUF,281.0,,,0,,0,,,,,
139,1987,12,24,4,1319.0,1210,1415.0,1307,PS,1720,,56.0,57.0,,68.0,69.0,LAX,LAS,236.0,,,0,,0,,,,,
140,1987,10,14,3,1842.0,1835,2038.0,2028,US,80,,56.0,53.0,,10.0,7.0,IND,CLE,261.0,,,0,,0,,,,,
141,1987,10,18,7,1904.0,1900,1949.0,1948,CO,1757,,45.0,48.0,,1.0,4.0,GJT,DEN,212.0,,,0,,0,,,,,
142,1987,11,17,2,910.0,845,1029.0,955,AS,722,,79.0,70.0,,34.0,25.0,OAK,LGB,353.0,,,0,,0,,,,,
143,1987,12,28,1,2018.0,1935,2140.0,2045,UA,291,,142.0,130.0,,55.0,43.0,PHL,ORD,678.0,,,0,,0,,,,,
144,1987,10,12,1,1109.0,1100,1231.0,1216,UA,838,,82.0,76.0,,15.0,9.0,SFO,LAX,337.0,,,0,,0,,,,,
145,1987,11,8,7,2302.0,2255,2336.0,2333,PI,272,,34.0,38.0,,3.0,7.0,LYH,BWI,188.0,,,0,,0,,,,,
146,1987,11,5,4,1736.0,1735,1953.0,1950,US,95,,137.0,135.0,,3.0,1.0,PIT,TPA,873.0,,,0,,0,,,,,
147,1987,10,12,1,2008.0,2005,2115.0,2108,PI,221,,67.0,63.0,,7.0,3.0,LGA,BWI,185.0,,,0,,0,,,,,
148,1987,12,2,3,1917.0,1859,2029.0,2009,DL,1946,,72.0,70.0,,20.0,18.0,SMF,LAX,373.0,,,0,,0,,,,,
149,1987,12,22,2,1304.0,1300,1603.0,1521,UA,121,,299.0,261.0,,42.0,4.0,ORD,SFO,1846.0,,,0,,0,,,,,
150,1987,10,8,4,1125.0,1120,1315.0,1315,WN,33,,50.0,55.0,,0.0,5.0,ELP,LBB,295.0,,,0,,0,,,,,
151,1987,12,28,1,1258.0,1235,1458.0,1430,NW,1004,,60.0,55.0,,28.0,23.0,MEM,CHA,271.0,,,0,,0,,,,,
152,1987,12,18,5,1222.0,1215,1334.0,1350,CO,469,,132.0,155.0,,-16.0,7.0,DEN,SJC,948.0,,,0,,0,,,,,
153,1987,12,30,3,2141.0,2130,2244.0,2230,WN,422,,63.0,60.0,,14.0,11.0,OKC,MCI,313.0,,,0,,0,,,,,
154,1987,10,5,1,1330.0,1315,1637.0,1618,EA,43,,187.0,183.0,,19.0,15.0,BOS,MIA,1258.0,,,0,,0,,,,,
155,1987,11,8,7,1316.0,1256,1850.0,1708,AA,164,,274.0,192.0,,102.0,20.0,DFW,JFK,1391.0,,,0,,0,,,,,
156,1987,12,14,1,701.0,700,858.0,840,PI,477,,117.0,100.0,,18.0,1.0,EWR,DAY,533.0,,,0,,0,,,,,
157,1987,12,5,6,1436.0,1300,1632.0,1506,UA,107,,236.0,246.0,,86.0,96.0,ORD,LAX,1745.0,,,0,,0,,,,,
158,1987,12,28,1,2200.0,2040,24.0,2318,EA,182,,144.0,158.0,,66.0,80.0,FLL,BDL,1173.0,,,0,,0,,,,,
159,1987,11,17,2,1855.0,1755,2051.0,2004,US,33,,296.0,309.0,,47.0,60.0,PIT,SFO,2254.0,,,0,,0,,,,,
160,1987,10,20,2,2027.0,2026,2325.0,2316,UA,884,,118.0,110.0,,9.0,1.0,ORD,ORF,717.0,,,0,,0,,,,,
161,1987,10,20,2,1844.0,1840,2023.0,2010,PI,585,,99.0,90.0,,13.0,4.0,PHL,CLT,448.0,,,0,,0,,,,,
162,1987,10,19,1,1602.0,1543,1751.0,1725,DL,97,,289.0,282.0,,26.0,19.0,ATL,SFO,2139.0,,,0,,0,,,,,
163,1987,11,28,6,1712.0,1710,1838.0,1858,NW,795,,146.0,168.0,,-20.0,2.0,EWR,MEM,946.0,,,0,,0,,,,,
164,1987,11,8,7,1902.0,1845,1956.0,1936,US,1,,54.0,51.0,,20.0,17.0,DCA,PIT,205.0,,,0,,0,,,,,
165,1987,11,23,1,1311.0,1310,1628.0,1624,NW,318,,137.0,134.0,,4.0,1.0,MSP,DCA,931.0,,,0,,0,,,,,
166,1987,12,24,4,2014.0,1947,2325.0,2259,DL,1850,,131.0,132.0,,26.0,27.0,SLC,MSP,991.0,,,0,,0,,,,,
167,1987,11,11,3,1415.0,1410,1549.0,1550,TW,316,,94.0,100.0,,-1.0,5.0,MSY,STL,604.0,,,0,,0,,,,,
168,1987,10,6,2,1632.0,1620,1754.0,1736,US,420,,82.0,76.0,,18.0,12.0,PIT,BDL,406.0,,,0,,0,,,,,
169,1987,12,16,3,2241.0,2030,5.0,2144,UA,1560,,84.0,74.0,,141.0,131.0,LAX,OAK,337.0,,,0,,0,,,,,
170,1987,10,28,3,2155.0,2000,2237.0,2157,CO,796,,42.0,117.0,,40.0,115.0,EWR,CLT,529.0,,,0,,0,,,,,
171,1987,11,29,7,1514.0,1430,1530.0,1439,UA,977,,76.0,69.0,,51.0,44.0,SDF,ORD,286.0,,,0,,0,,,,,
172,1987,12,19,6,1454.0,1355,1701.0,1607,TW,228,,67.0,72.0,,54.0,59.0,STL,DAY,338.0,,,0,,0,,,,,
173,1987,12,21,1,2040.0,2010,,2255,CO,555,,,225.0,,,30.0,EWR,IAH,1400.0,,,0,,1,,,,,
174,1987,12,14,1,1349.0,1325,1453.0,1420,DL,667,,64.0,55.0,,33.0,24.0,MLU,DFW,293.0,,,0,,0,,,,,
175,1987,10,28,3,913.0,850,1154.0,1133,NW,931,,101.0,103.0,,21.0,23.0,MEM,TPA,656.0,,,0,,0,,,,,
176,1987,11,25,3,2057.0,2045,2156.0,2149,PS,1658,,59.0,64.0,,7.0,12.0,RNO,BUR,374.0,,,0,,0,,,,,
177,1987,12,17,4,1108.0,1100,1209.0,1205,TW,614,,61.0,65.0,,4.0,8.0,OMA,STL,342.0,,,0,,0,,,,,
178,1987,11,1,7,2022.0,2010,2032.0,2010,NW,627,,70.0,60.0,,22.0,12.0,DTW,GRB,288.0,,,0,,0,,,,,
179,1987,12,8,2,1743.0,1735,1901.0,1856,CO,815,,138.0,141.0,,5.0,8.0,DEN,RNO,804.0,,,0,,0,,,,,
180,1987,11,13,5,1909.0,1904,2036.0,1959,DL,85,,207.0,175.0,,37.0,5.0,DFW,LAX,1235.0,,,0,,0,,,,,
181,1987,12,17,4,1007.0,1005,1127.0,1120,US,100,,80.0,75.0,,7.0,2.0,PHL,PWM,365.0,,,0,,0,,,,,
182,1987,10,10,6,2138.0,2050,2227.0,2135,PA (1),401,,49.0,45.0,,52.0,48.0,DFW,AUS,190.0,,,0,,0,,,,,
183,1987,10,30,5,836.0,833,939.0,945,UA,891,,63.0,72.0,,-6.0,3.0,DEN,ABQ,349.0,,,0,,0,,,,,
